title,price,location,link
"Nissan Magnite N CONNECTA CVT TURBO 2026
0 km
MEMBER
Colombo, Cars
Rs 9,490,000
3 days","Rs 9,490,000","Nissan Magnite N CONNECTA CVT TURBO 2026
0 km
MEMBER
Colombo, Cars
Rs 9,490,000
3 days",https://ikman.lk/en/ad/nissan-magnite-n-connecta-cvt-turbo-2026-for-sale-colombo-3
"Nissan Sunny N17 2006
187,500 km
Badulla, Cars
Rs 4,350,000
3 days","Rs 4,350,000","Nissan Sunny N17 2006
187,500 km
Badulla, Cars
Rs 4,350,000
3 days",https://ikman.lk/en/ad/nissan-sunny-n17-2006-for-sale-badulla
"Toyota Hilux Vigo 2007
272,000 km
Gampaha, Cars
Rs 12,950,000
3 days","Rs 12,950,000","Toyota Hilux Vigo 2007
272,000 km
Gampaha, Cars
Rs 12,950,000
3 days",https://ikman.lk/en/ad/toyota-hilux-vigo-2007-for-sale-gampaha-70
"Hyundai Tucson 2011
200,000 km
Colombo, Cars
Rs 7,800,000
3 days","Rs 7,800,000","Hyundai Tucson 2011
200,000 km
Colombo, Cars
Rs 7,800,000
3 days",https://ikman.lk/en/ad/hyundai-tucson-2011-for-sale-colombo-1020
"Toyota Passo Moda New Face LED 2023
29,600 km
MEMBER
Gampaha, Cars
Rs 8,690,000
3 days","Rs 8,690,000","Toyota Passo Moda New Face LED 2023
29,600 km
MEMBER
Gampaha, Cars
Rs 8,690,000
3 days",https://ikman.lk/en/ad/toyota-passo-moda-new-face-led-2023-for-sale-gampaha
"Volkswagen Taigun TOPLINE SUNROOF 2026
0 km
MEMBER
Colombo, Cars
Rs 12,690,000
3 days","Rs 12,690,000","Volkswagen Taigun TOPLINE SUNROOF 2026
0 km
MEMBER
Colombo, Cars
Rs 12,690,000
3 days",https://ikman.lk/en/ad/volkswagen-taigun-topline-sunroof-2026-for-sale-colombo-1
"Volkswagen Taigun GT LINE SUNROOF 2026
0 km
MEMBER
Colombo, Cars
Rs 11,790,000
3 days","Rs 11,790,000","Volkswagen Taigun GT LINE SUNROOF 2026
0 km
MEMBER
Colombo, Cars
Rs 11,790,000
3 days",https://ikman.lk/en/ad/volkswagen-taigun-gt-line-sunroof-2026-for-sale-colombo-3
"Volkswagen Taigun GT LINE SUNROOF 2026
0 km
MEMBER
Colombo, Cars
Rs 11,790,000
3 days","Rs 11,790,000","Volkswagen Taigun GT LINE SUNROOF 2026
0 km
MEMBER
Colombo, Cars
Rs 11,790,000
3 days",https://ikman.lk/en/ad/volkswagen-taigun-gt-line-sunroof-2026-for-sale-colombo-2
"Kia SONET HTX SUNROOF 2026
0 km
MEMBER
Colombo, Cars
Rs 11,290,000
3 days","Rs 11,290,000","Kia SONET HTX SUNROOF 2026
0 km
MEMBER
Colombo, Cars
Rs 11,290,000
3 days",https://ikman.lk/en/ad/kia-sonet-htx-sunroof-2026-for-sale-colombo
"Toyota HYRYDER V HYBRID 2026
0 km
MEMBER
Colombo, Cars
Rs 16,990,000
3 days","Rs 16,990,000","Toyota HYRYDER V HYBRID 2026
0 km
MEMBER
Colombo, Cars
Rs 16,990,000
3 days",https://ikman.lk/en/ad/toyota-hyryder-v-hybrid-2026-for-sale-colombo-2
"Toyota Aqua X urban body Kit 2013
145,000 km
Colombo, Cars
Rs 8,350,000
just now","Rs 8,350,000","Toyota Aqua X urban body Kit 2013
145,000 km
Colombo, Cars
Rs 8,350,000
just now",https://ikman.lk/en/ad/toyota-aqua-x-urban-body-kit-2013-for-sale-colombo
"Maruti Suzuki 800 Alto 2007
91,736 km
Gampaha, Cars
Rs 2,600,000
3 days","Rs 2,600,000","Maruti Suzuki 800 Alto 2007
91,736 km
Gampaha, Cars
Rs 2,600,000
3 days",https://ikman.lk/en/ad/maruti-suzuki-800-alto-2007-for-sale-gampaha
"Mercedes Benz S560 MAYBACH First Class 2019
48,000 km
MEMBER
Colombo, Cars
Rs 125,000,000
3 days","Rs 125,000,000","Mercedes Benz S560 MAYBACH First Class 2019
48,000 km
MEMBER
Colombo, Cars
Rs 125,000,000
3 days",https://ikman.lk/en/ad/mercedes-benz-s560-maybach-first-class-2019-for-sale-colombo-5
"Toyota Camry Hybrid AV50 2012
127,000 km
MEMBER
Kurunegala, Cars
Rs 11,500,000
3 days","Rs 11,500,000","Toyota Camry Hybrid AV50 2012
127,000 km
MEMBER
Kurunegala, Cars
Rs 11,500,000
3 days",https://ikman.lk/en/ad/toyota-camry-hybrid-av50-2012-for-sale-kurunegala-1
"Toyota CHR GT TURBO 2017
100,000 km
MEMBER
Colombo, Cars
Rs 13,000,000
3 days","Rs 13,000,000","Toyota CHR GT TURBO 2017
100,000 km
MEMBER
Colombo, Cars
Rs 13,000,000
3 days",https://ikman.lk/en/ad/toyota-chr-gt-turbo-2017-for-sale-colombo-678
"Toyota Harrier G 2024
8,000 km
MEMBER
Colombo, Cars
Rs 32,000,000
3 days","Rs 32,000,000","Toyota Harrier G 2024
8,000 km
MEMBER
Colombo, Cars
Rs 32,000,000
3 days",https://ikman.lk/en/ad/toyota-harrier-g-2024-for-sale-colombo-11
"Hyundai Tucson CRDI 4WD 2012
188,000 km
MEMBER
Colombo, Cars
Rs 7,950,000
3 days","Rs 7,950,000","Hyundai Tucson CRDI 4WD 2012
188,000 km
MEMBER
Colombo, Cars
Rs 7,950,000
3 days",https://ikman.lk/en/ad/hyundai-tucson-crdi-4wd-2012-for-sale-colombo
"Mercedes Benz C200 Premium Plus 2025
0 km
MEMBER
Colombo, Cars
Rs 37,000,000
3 days","Rs 37,000,000","Mercedes Benz C200 Premium Plus 2025
0 km
MEMBER
Colombo, Cars
Rs 37,000,000
3 days",https://ikman.lk/en/ad/mercedes-benz-c200-premium-plus-2025-for-sale-colombo-5
"Nissan Sunny 1983
249,993 km
Matale, Cars
Rs 1,750,000
3 days","Rs 1,750,000","Nissan Sunny 1983
249,993 km
Matale, Cars
Rs 1,750,000
3 days",https://ikman.lk/en/ad/nissan-sunny-1983-for-sale-matale
"Toyota RAV4 Z PHEV 2026
0 km
MEMBER
Colombo, Cars
Rs 43,000,000
3 days","Rs 43,000,000","Toyota RAV4 Z PHEV 2026
0 km
MEMBER
Colombo, Cars
Rs 43,000,000
3 days",https://ikman.lk/en/ad/toyota-rav4-z-phev-2026-for-sale-colombo
"Honda Vezel 2026
0 km
MEMBER
Colombo, Cars
Rs 17,000,000
3 days","Rs 17,000,000","Honda Vezel 2026
0 km
MEMBER
Colombo, Cars
Rs 17,000,000
3 days",https://ikman.lk/en/ad/honda-vezel-2026-for-sale-colombo
"Toyota Land Cruiser Prado TRJ 150 TX Limited 2023
17,500 km
MEMBER
Colombo, Cars
Rs 51,300,000
3 days","Rs 51,300,000","Toyota Land Cruiser Prado TRJ 150 TX Limited 2023
17,500 km
MEMBER
Colombo, Cars
Rs 51,300,000
3 days",https://ikman.lk/en/ad/toyota-land-cruiser-prado-trj-150-tx-limited-2023-for-sale-colombo-30
"Suzuki Wagon R FX Safety Petrol 2024
5,000 km
MEMBER
Colombo, Cars
Rs 7,350,000
3 days","Rs 7,350,000","Suzuki Wagon R FX Safety Petrol 2024
5,000 km
MEMBER
Colombo, Cars
Rs 7,350,000
3 days",https://ikman.lk/en/ad/suzuki-wagon-r-fx-safety-petrol-2024-for-sale-colombo-38
"Toyota Land Cruiser Prado FIRST EDITION LC 250 2024
39 km
MEMBER
Colombo, Cars
Rs 57,500,000
3 days","Rs 57,500,000","Toyota Land Cruiser Prado FIRST EDITION LC 250 2024
39 km
MEMBER
Colombo, Cars
Rs 57,500,000
3 days",https://ikman.lk/en/ad/toyota-land-cruiser-prado-first-edition-lc-250-2024-for-sale-colombo-1
"Toyota Land Cruiser Prado 250 First Edition 2024
7,900 km
MEMBER
Colombo, Cars
Rs 55,900,000
3 days","Rs 55,900,000","Toyota Land Cruiser Prado 250 First Edition 2024
7,900 km
MEMBER
Colombo, Cars
Rs 55,900,000
3 days",https://ikman.lk/en/ad/toyota-land-cruiser-prado-250-first-edition-2024-for-sale-colombo-90
"Toyota Voxy Hybrid SZ 2025
37 km
MEMBER
Colombo, Cars
Rs 29,950,000
3 days","Rs 29,950,000","Toyota Voxy Hybrid SZ 2025
37 km
MEMBER
Colombo, Cars
Rs 29,950,000
3 days",https://ikman.lk/en/ad/toyota-voxy-hybrid-sz-2025-for-sale-colombo-10
"Nissan Serena Highway Star V 2025
47 km
MEMBER
Colombo, Cars
Rs 21,300,000
3 days","Rs 21,300,000","Nissan Serena Highway Star V 2025
47 km
MEMBER
Colombo, Cars
Rs 21,300,000
3 days",https://ikman.lk/en/ad/nissan-serena-highway-star-v-2025-for-sale-colombo-14
"Toyota Soluna 2001
138,000 km
Kalutara, Cars
Rs 3,299,000
3 days","Rs 3,299,000","Toyota Soluna 2001
138,000 km
Kalutara, Cars
Rs 3,299,000
3 days",https://ikman.lk/en/ad/toyota-soluna-2001-for-sale-kalutara
"Suzuki Maruti 2006
52,331 km
Kandy, Cars
Rs 2,200,000
3 days","Rs 2,200,000","Suzuki Maruti 2006
52,331 km
Kandy, Cars
Rs 2,200,000
3 days",https://ikman.lk/en/ad/suzuki-maruti-2006-for-sale-kandy-363
"BMW X1 S Drive 2011
69,500 km
Colombo, Cars
Rs 12,950,000
3 days","Rs 12,950,000","BMW X1 S Drive 2011
69,500 km
Colombo, Cars
Rs 12,950,000
3 days",https://ikman.lk/en/ad/bmw-x1-s-drive-2011-for-sale-colombo-1
"Toyota Land Cruiser Sahara V8 LC300 ZX 2026
0 km
MEMBER
Colombo, Cars
Rs 39,000,000
3 days","Rs 39,000,000","Toyota Land Cruiser Sahara V8 LC300 ZX 2026
0 km
MEMBER
Colombo, Cars
Rs 39,000,000
3 days",https://ikman.lk/en/ad/toyota-land-cruiser-sahara-v8-lc300-zx-2026-for-sale-colombo-1
"Honda Civic EX 2018
82,000 km
Gampaha, Cars
Rs 13,500,000
3 days","Rs 13,500,000","Honda Civic EX 2018
82,000 km
Gampaha, Cars
Rs 13,500,000
3 days",https://ikman.lk/en/ad/honda-civic-ex-2018-for-sale-gampaha-32
"Toyota Premio G superior 2017
70,000 km
MEMBER
Colombo, Cars
Rs 14,850,000
3 days","Rs 14,850,000","Toyota Premio G superior 2017
70,000 km
MEMBER
Colombo, Cars
Rs 14,850,000
3 days",https://ikman.lk/en/ad/toyota-premio-g-superior-2017-for-sale-colombo-837
"Mitsubishi Lancer 1978
61,700 km
Galle, Cars
Rs 800,000
3 days","Rs 800,000","Mitsubishi Lancer 1978
61,700 km
Galle, Cars
Rs 800,000
3 days",https://ikman.lk/en/ad/mitsubishi-lancer-1978-for-sale-galle-5
"Honda Vezel RS SENSING LED LIGHT 2018
100,208 km
MEMBER
Colombo, Cars
Rs 12,790,000
3 days","Rs 12,790,000","Honda Vezel RS SENSING LED LIGHT 2018
100,208 km
MEMBER
Colombo, Cars
Rs 12,790,000
3 days",https://ikman.lk/en/ad/honda-vezel-rs-sensing-led-light-2018-for-sale-colombo
"Toyota Roomy Custom G 2024
8,000 km
MEMBER
Colombo, Cars
Rs 10,100,000
3 days","Rs 10,100,000","Toyota Roomy Custom G 2024
8,000 km
MEMBER
Colombo, Cars
Rs 10,100,000
3 days",https://ikman.lk/en/ad/toyota-roomy-custom-g-2024-for-sale-colombo-80
"Daihatsu Rocky A201S-Pre G-SDDD-A1 2024
10,000 km
MEMBER
Colombo, Cars
Rs 12,000,000
3 days","Rs 12,000,000","Daihatsu Rocky A201S-Pre G-SDDD-A1 2024
10,000 km
MEMBER
Colombo, Cars
Rs 12,000,000
3 days",https://ikman.lk/en/ad/daihatsu-rocky-a201s-pre-g-sddd-a1-2024-for-sale-colombo-1
"Suzuki Maruti Used 2005
93,058 km
Gampaha, Cars
Rs 1,975,000
3 days","Rs 1,975,000","Suzuki Maruti Used 2005
93,058 km
Gampaha, Cars
Rs 1,975,000
3 days",https://ikman.lk/en/ad/suzuki-maruti-used-2005-for-sale-gampaha
"Toyota Taisor V Grade 2024
0 km
Colombo, Cars
Rs 10,750,000
3 days","Rs 10,750,000","Toyota Taisor V Grade 2024
0 km
Colombo, Cars
Rs 10,750,000
3 days",https://ikman.lk/en/ad/toyota-taisor-v-grade-2024-for-sale-colombo-16
"Suzuki A-Star 2011
145,000 km
MEMBER
Colombo, Cars
Rs 4,685,000
3 days","Rs 4,685,000","Suzuki A-Star 2011
145,000 km
MEMBER
Colombo, Cars
Rs 4,685,000
3 days",https://ikman.lk/en/ad/suzuki-a-star-2011-for-sale-colombo-1085
"Suzuki Celerio 2017
102,076 km
Matara, Cars
Rs 5,400,000
3 days","Rs 5,400,000","Suzuki Celerio 2017
102,076 km
Matara, Cars
Rs 5,400,000
3 days",https://ikman.lk/en/ad/suzuki-celerio-2017-for-sale-matara-3
"Hyundai Accent 2001
175,000 km
MEMBER
Colombo, Cars
Rs 3,085,000
3 days","Rs 3,085,000","Hyundai Accent 2001
175,000 km
MEMBER
Colombo, Cars
Rs 3,085,000
3 days",https://ikman.lk/en/ad/hyundai-accent-2001-for-sale-colombo-1214
"Nissan March 1996
201,136 km
MEMBER
Colombo, Cars
Rs 2,385,000
3 days","Rs 2,385,000","Nissan March 1996
201,136 km
MEMBER
Colombo, Cars
Rs 2,385,000
3 days",https://ikman.lk/en/ad/nissan-march-1996-for-sale-colombo-131
"Honda Vezel Z Premium 2026
0 km
MEMBER
Gampaha, Cars
Rs 18,990,000
3 days","Rs 18,990,000","Honda Vezel Z Premium 2026
0 km
MEMBER
Gampaha, Cars
Rs 18,990,000
3 days",https://ikman.lk/en/ad/honda-vezel-z-premium-2026-for-sale-gampaha-2
"Toyota Yaris KSP210 - X KIII-A1 2024
5,000 km
MEMBER
Colombo, Cars
Rs 9,950,000
3 days","Rs 9,950,000","Toyota Yaris KSP210 - X KIII-A1 2024
5,000 km
MEMBER
Colombo, Cars
Rs 9,950,000
3 days",https://ikman.lk/en/ad/toyota-yaris-ksp210-x-kiii-a1-2024-for-sale-colombo-3
"Mahindra KUV 100 NXT 2022
31,000 km
Gampaha, Cars
Rs 6,300,000
3 days","Rs 6,300,000","Mahindra KUV 100 NXT 2022
31,000 km
Gampaha, Cars
Rs 6,300,000
3 days",https://ikman.lk/en/ad/mahindra-kuv-100-nxt-2022-for-sale-gampaha-1
"Toyota Corolla 121 AUTO 2002
189,000 km
MEMBER
Kurunegala, Cars
Rs 5,750,000
3 days","Rs 5,750,000","Toyota Corolla 121 AUTO 2002
189,000 km
MEMBER
Kurunegala, Cars
Rs 5,750,000
3 days",https://ikman.lk/en/ad/toyota-corolla-121-auto-2002-for-sale-kurunegala
"Toyota Sprinter 1997
285,500 km
Kandy, Cars
Rs 3,400,000
3 days","Rs 3,400,000","Toyota Sprinter 1997
285,500 km
Kandy, Cars
Rs 3,400,000
3 days",https://ikman.lk/en/ad/toyota-sprinter-mint-1997-for-sale-kandy
"Toyota Roomy Custom GT 2023
23,000 km
MEMBER
Colombo, Cars
Rs 10,200,000
3 days","Rs 10,200,000","Toyota Roomy Custom GT 2023
23,000 km
MEMBER
Colombo, Cars
Rs 10,200,000
3 days",https://ikman.lk/en/ad/toyota-roomy-custom-gt-2023-for-sale-colombo-46
"Peugeot E-2008 Electric 2022
9,000 km
MEMBER
Colombo, Cars
Rs 15,700,000
3 days","Rs 15,700,000","Peugeot E-2008 Electric 2022
9,000 km
MEMBER
Colombo, Cars
Rs 15,700,000
3 days",https://ikman.lk/en/ad/peugeot-e-2008-electric-2022-for-sale-colombo-5
"DFSK Glory I Auto 2022
40,000 km
MEMBER
Colombo, Cars
Rs 9,590,000
3 days","Rs 9,590,000","DFSK Glory I Auto 2022
40,000 km
MEMBER
Colombo, Cars
Rs 9,590,000
3 days",https://ikman.lk/en/ad/dfsk-glory-i-auto-2022-for-sale-colombo-236
"Toyota Land Cruiser Prado 95 1KZ 1997
230,000 km
MEMBER
Colombo, Cars
Rs 12,290,000
3 days","Rs 12,290,000","Toyota Land Cruiser Prado 95 1KZ 1997
230,000 km
MEMBER
Colombo, Cars
Rs 12,290,000
3 days",https://ikman.lk/en/ad/toyota-land-cruiser-prado-95-1kz-1997-for-sale-colombo-10
"Suzuki Wagon R FX S 2024
5,500 km
MEMBER
Gampaha, Cars
Rs 7,900,000
3 days","Rs 7,900,000","Suzuki Wagon R FX S 2024
5,500 km
MEMBER
Gampaha, Cars
Rs 7,900,000
3 days",https://ikman.lk/en/ad/suzuki-wagon-r-fx-s-2024-for-sale-gampaha-22
"Honda Vezel Z Playe Pack 2025
0 km
MEMBER
Colombo, Cars
Rs 20,475,000
3 days","Rs 20,475,000","Honda Vezel Z Playe Pack 2025
0 km
MEMBER
Colombo, Cars
Rs 20,475,000
3 days",https://ikman.lk/en/ad/honda-vezel-z-playe-pack-2025-for-sale-colombo-22
"Toyota Fortuner 2013
165,000 km
Colombo, Cars
Rs 18,500,000
3 days","Rs 18,500,000","Toyota Fortuner 2013
165,000 km
Colombo, Cars
Rs 18,500,000
3 days",https://ikman.lk/en/ad/toyota-fortuner-2013-for-sale-colombo-622
"Toyota Yaris KSP210 - G KIII-A1 2024
20,000 km
MEMBER
Colombo, Cars
Rs 10,300,000
3 days","Rs 10,300,000","Toyota Yaris KSP210 - G KIII-A1 2024
20,000 km
MEMBER
Colombo, Cars
Rs 10,300,000
3 days",https://ikman.lk/en/ad/toyota-yaris-ksp210-g-kiii-a1-2024-for-sale-colombo-2
"Mitsubishi J20 4W 4DR5 Jeep 1979
72,000 km
Colombo, Cars
Rs 2,975,000
3 days","Rs 2,975,000","Mitsubishi J20 4W 4DR5 Jeep 1979
72,000 km
Colombo, Cars
Rs 2,975,000
3 days",https://ikman.lk/en/ad/mitsubishi-j20-4w-4dr5-jeep-1979-for-sale-colombo
"Toyota Yaris KSP210 - X KIII-A1 2024
30,000 km
MEMBER
Colombo, Cars
Rs 9,300,000
3 days","Rs 9,300,000","Toyota Yaris KSP210 - X KIII-A1 2024
30,000 km
MEMBER
Colombo, Cars
Rs 9,300,000
3 days",https://ikman.lk/en/ad/toyota-yaris-ksp210-x-kiii-a1-2024-for-sale-colombo-2
"Volkswagen T-Cross 2024
800 km
MEMBER
Colombo, Cars
Rs 14,800,000
3 days","Rs 14,800,000","Volkswagen T-Cross 2024
800 km
MEMBER
Colombo, Cars
Rs 14,800,000
3 days",https://ikman.lk/en/ad/volkswagen-t-cross-2024-for-sale-colombo-5
"Toyota Corolla 2006
181,561 km
Colombo, Cars
Rs 5,500,000
3 days","Rs 5,500,000","Toyota Corolla 2006
181,561 km
Colombo, Cars
Rs 5,500,000
3 days",https://ikman.lk/en/ad/toyota-corolla-2006-for-sale-colombo-9
"Mercedes Benz C200 Sport Premium Plus 2019
88,000 km
MEMBER
Kalutara, Cars
Rs 22,500,000
3 days","Rs 22,500,000","Mercedes Benz C200 Sport Premium Plus 2019
88,000 km
MEMBER
Kalutara, Cars
Rs 22,500,000
3 days",https://ikman.lk/en/ad/mercedes-benz-c200-sport-premium-plus-2019-for-sale-kalutara-1
"Nissan Tiida 2008
170,000 km
Galle, Cars
Rs 5,800,000
3 days","Rs 5,800,000","Nissan Tiida 2008
170,000 km
Galle, Cars
Rs 5,800,000
3 days",https://ikman.lk/en/ad/nissan-tiida-2008-for-sale-galle-2
"Toyota Raize Z 2025
2 km
MEMBER
Gampaha, Cars
Rs 13,900,000
3 days","Rs 13,900,000","Toyota Raize Z 2025
2 km
MEMBER
Gampaha, Cars
Rs 13,900,000
3 days",https://ikman.lk/en/ad/toyota-raize-z-2025-for-sale-gampaha-58
"Hyundai Venue N Line 1.0L 2025
0 km
MEMBER
Colombo, Cars
Rs 11,625,000
3 days","Rs 11,625,000","Hyundai Venue N Line 1.0L 2025
0 km
MEMBER
Colombo, Cars
Rs 11,625,000
3 days",https://ikman.lk/en/ad/hyundai-venue-n-line-10l-2025-for-sale-colombo-31
